Area,Months,Year,Temperature change,RollingMean_5Y
France,January,2013,0.654,0.19239999999999996
France,February,2013,-1.381,-0.6294000000000001
France,March,2013,-0.692,0.9469999999999998
France,April,2013,0.662,1.7536
France,May,2013,-1.205,1.1002
France,June,2013,0.203,1.2044000000000001
France,July,2013,3.05,1.435
France,August,2013,1.671,1.8544
France,September,2013,1.039,0.9912000000000003
France,October,2013,2.563,1.2828
France,November,2013,0.334,1.6024
France,December,2013,1.454,0.6388000000000001
France,,2013,0.237,
France,,2013,-0.412,
France,,2013,1.641,
France,,2013,1.312,
France,,2013,0.695,
France,January,2014,3.226,1.03
France,February,2014,2.441,-0.12940000000000004
France,March,2014,2.2,1.238
France,April,2014,2.739,1.9003999999999999
France,May,2014,0.551,0.7442
France,June,2014,2.144,1.296
France,July,2014,1.081,1.3546
France,August,2014,-0.01,1.3282
France,September,2014,1.995,1.1374000000000002
France,October,2014,3.151,1.7157999999999998
France,November,2014,3.352,1.7006000000000001
France,December,2014,1.233,0.8686000000000001
France,,2014,2.374,
France,,2014,1.83,
France,,2014,1.072,
France,,2014,2.833,
France,,2014,2.027,
France,January,2015,1.493,1.6662
France,February,2015,-0.296,-0.09580000000000008
France,March,2015,1.359,1.4866
France,April,2015,2.251,1.9985999999999997
France,May,2015,1.507,1.0916000000000001
France,June,2015,2.5,1.5232
France,July,2015,3.297,1.4896
France,August,2015,2.293,1.6358000000000001
France,September,2015,-0.38,1.0898
France,October,2015,0.258,1.7657999999999998
France,November,2015,3.429,2.3148
France,December,2015,4.417,2.2044
France,,2015,0.81,
France,,2015,1.706,
France,,2015,2.697,
France,,2015,1.102,
France,,2015,1.579,
France,January,2016,2.733,2.0478
France,February,2016,2.025,-0.03880000000000008
France,March,2016,0.286,1.2166
France,April,2016,0.815,1.3294000000000001
France,May,2016,0.907,0.7152000000000001
France,June,2016,1.331,1.5536
France,July,2016,1.824,1.9532000000000003
France,August,2016,2.381,1.8048000000000002
France,September,2016,2.881,1.2032
France,October,2016,0.298,1.4893999999999996
France,November,2016,1.164,1.9336000000000002
France,December,2016,1.146,1.9378
France,,2016,3.058,
France,,2016,0.669,
France,,2016,1.845,
France,,2016,1.448,
France,,2016,1.755,
France,January,2017,-0.91,1.4392
France,February,2017,2.894,1.1366
France,March,2017,3.335,1.2975999999999999
France,April,2017,1.279,1.5492000000000001
France,May,2017,2.489,0.8497999999999999
France,June,2017,3.807,1.9969999999999999
France,July,2017,2.151,2.2806000000000006
France,August,2017,2.254,1.7178
France,September,2017,-0.401,1.0268000000000002
France,October,2017,2.386,1.7311999999999999
France,November,2017,0.689,1.7936
France,December,2017,0.645,1.7790000000000004
France,,2017,1.043,
France,,2017,2.368,
France,,2017,2.737,
France,,2017,0.891,
France,,2017,1.76,
France,January,2018,3.883,2.085
France,February,2018,-1.668,1.0792
France,March,2018,0.305,1.4969999999999999
France,April,2018,3.481,2.113
France,May,2018,2.24,1.5388
France,June,2018,2.698,2.496
France,July,2018,3.587,2.3880000000000003
France,August,2018,3.072,1.998
